epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,643.413,1.09692,8.57822,0.3089,0.57988,0.55572,0.54762,0.28427,0.60322,0.78901,0.10266,0.00333165,0.00333165,0.00333165
2,1282.73,0.99498,0.54147,0.13692,0.50009,0.40009,0.41047,0.18453,0.79979,0.63984,0.10438,0.00664299,0.00664299,0.00664299
3,1939.09,1.17757,0.5063,0.17306,0.55902,0.39815,0.4191,0.16199,0.86217,0.72566,0.14795,0.00993233,0.00993233,0.00993233
4,2588.33,1.25509,0.52119,0.20467,0.40032,0.21659,0.25435,0.0958,1.06357,0.69448,0.14236,0.009901,0.009901,0.009901
5,3238.06,1.2165,0.51611,0.18227,0.52826,0.50125,0.49825,0.25072,0.65105,0.80579,0.10616,0.009868,0.009868,0.009868
6,3877.92,1.1337,0.54518,0.17157,0.56151,0.43107,0.46658,0.2125,0.66845,0.74746,0.11235,0.009835,0.009835,0.009835
7,4507.93,1.06624,0.56301,0.15398,0.61918,0.41199,0.45015,0.178,0.97375,0.44153,0.14589,0.009802,0.009802,0.009802
8,5139.48,1.076,0.56107,0.15641,0.57175,0.41045,0.46013,0.24222,0.74411,0.61937,0.10298,0.009769,0.009769,0.009769
9,5771.05,1.04214,0.56976,0.15162,0.73346,0.49816,0.57398,0.31214,0.5772,0.7392,0.0879,0.009736,0.009736,0.009736
10,6403.01,1.09609,0.5349,0.15309,0.77277,0.51311,0.5824,0.3249,0.76922,0.47746,0.10631,0.009703,0.009703,0.009703
11,7035.4,1.08586,0.52844,0.15328,0.5687,0.46005,0.52323,0.26734,0.60244,0.72511,0.0933,0.00967,0.00967,0.00967
12,7667.33,1.11378,0.51642,0.15397,0.58434,0.55638,0.58792,0.29114,0.66728,0.62228,0.11181,0.009637,0.009637,0.009637
13,8298.43,1.04353,0.54281,0.14915,0.56494,0.51208,0.53407,0.25485,0.71847,0.61233,0.10558,0.009604,0.009604,0.009604
14,8929.09,1.02645,0.56202,0.14261,0.67047,0.53499,0.58885,0.30571,0.64441,0.62814,0.09689,0.009571,0.009571,0.009571
15,9560.16,1.06102,0.53458,0.1437,0.56955,0.52172,0.52718,0.24329,0.82421,0.49647,0.11146,0.009538,0.009538,0.009538
16,10191.5,1.05408,0.52943,0.14835,0.64739,0.51291,0.58421,0.30669,0.60361,0.6675,0.09265,0.009505,0.009505,0.009505
17,10823.1,1.03947,0.53682,0.14155,0.68887,0.54533,0.60558,0.32729,0.60173,0.66504,0.0907,0.009472,0.009472,0.009472
18,11454.4,1.04964,0.54068,0.14412,0.60855,0.51389,0.56054,0.28643,0.62623,0.71376,0.0918,0.009439,0.009439,0.009439
19,12084.8,1.02937,0.54602,0.14011,0.64112,0.56559,0.6245,0.35966,0.56399,0.62781,0.08506,0.009406,0.009406,0.009406
20,12716.8,1.02045,0.54379,0.13751,0.53612,0.55869,0.56245,0.29637,0.64286,0.66899,0.09206,0.009373,0.009373,0.009373
21,13349.6,1.02517,0.54583,0.14196,0.71773,0.58457,0.63995,0.35406,0.67593,0.50376,0.09119,0.00934,0.00934,0.00934
22,13981.5,0.99748,0.54936,0.13381,0.64874,0.57518,0.63427,0.36038,0.5337,0.67338,0.0811,0.009307,0.009307,0.009307
23,14612.6,0.98729,0.54317,0.13127,0.62522,0.58798,0.61589,0.30591,0.67977,0.52344,0.08924,0.009274,0.009274,0.009274
24,15245.7,1.01385,0.54426,0.13817,0.63435,0.55756,0.60091,0.32563,0.71323,0.51989,0.097,0.009241,0.009241,0.009241
25,15878,1.01082,0.54063,0.13367,0.68516,0.59337,0.65684,0.36029,0.57399,0.59875,0.08687,0.009208,0.009208,0.009208
26,16508.4,0.98512,0.55505,0.13343,0.70524,0.56324,0.64518,0.37048,0.5414,0.64927,0.08095,0.009175,0.009175,0.009175
27,17140.4,0.97769,0.56365,0.12937,0.65005,0.57549,0.63604,0.36418,0.53777,0.63916,0.07994,0.009142,0.009142,0.009142
28,17773.4,1.02538,0.54777,0.13846,0.63595,0.55467,0.61356,0.33954,0.61642,0.59522,0.08739,0.009109,0.009109,0.009109
29,18405.8,1.0202,0.54216,0.1351,0.69075,0.60594,0.67031,0.38449,0.53033,0.62455,0.07836,0.009076,0.009076,0.009076
30,19037.1,0.96854,0.55565,0.12444,0.68874,0.60197,0.66626,0.37273,0.58093,0.59998,0.08054,0.009043,0.009043,0.009043
31,19668,1.00454,0.54457,0.13134,0.68679,0.62141,0.68544,0.36911,0.58097,0.57105,0.08687,0.00901,0.00901,0.00901
32,20299.9,1.00441,0.54204,0.13097,0.70026,0.61576,0.66872,0.39186,0.58461,0.55157,0.08421,0.008977,0.008977,0.008977
33,20932,0.99845,0.5487,0.13006,0.63664,0.60272,0.64501,0.38023,0.58733,0.58182,0.08458,0.008944,0.008944,0.008944
34,21563.4,0.96059,0.55575,0.12555,0.69986,0.61521,0.67866,0.40689,0.51114,0.61709,0.07627,0.008911,0.008911,0.008911
35,22194.9,0.98974,0.55577,0.13021,0.57841,0.53704,0.58715,0.29167,0.58638,0.66452,0.08578,0.008878,0.008878,0.008878
36,22826.3,0.98664,0.54867,0.12839,0.63551,0.60616,0.65632,0.36822,0.53795,0.68053,0.07909,0.008845,0.008845,0.008845
37,23458.7,0.92324,0.57114,0.12003,0.6331,0.62851,0.67077,0.39622,0.51049,0.64424,0.07803,0.008812,0.008812,0.008812
38,24091.5,0.96101,0.55551,0.12201,0.67306,0.60531,0.65018,0.33923,0.62287,0.56013,0.08186,0.008779,0.008779,0.008779
39,24724,0.97598,0.55404,0.13196,0.62354,0.5717,0.61907,0.32081,0.59243,0.61648,0.08258,0.008746,0.008746,0.008746
40,25357.2,0.96809,0.53419,0.12632,0.68116,0.60705,0.65142,0.3258,0.70179,0.49467,0.08668,0.008713,0.008713,0.008713
41,25990.2,0.96077,0.54768,0.1273,0.68929,0.6395,0.69639,0.39246,0.5682,0.5583,0.08073,0.00868,0.00868,0.00868
42,26624,0.95005,0.55245,0.12213,0.69566,0.62471,0.68844,0.39572,0.53801,0.60705,0.0758,0.008647,0.008647,0.008647
43,27256.5,0.97266,0.54422,0.12742,0.62959,0.59103,0.65508,0.37084,0.54989,0.6373,0.07998,0.008614,0.008614,0.008614
44,27889.3,1.02045,0.52691,0.13412,0.68052,0.5979,0.66766,0.40656,0.50521,0.658,0.07453,0.008581,0.008581,0.008581
45,28522.4,0.97371,0.54331,0.12859,0.68026,0.62113,0.6828,0.41653,0.50623,0.63542,0.07417,0.008548,0.008548,0.008548
46,29155.9,0.98923,0.54158,0.13209,0.72425,0.60901,0.68359,0.41554,0.49169,0.65203,0.07268,0.008515,0.008515,0.008515
