epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.557,2.07178,3.10443,1.27042,0.51762,0.36508,0.40184,0.18381,1.98312,1.71518,1.1178,0.00333165,0.00333165,0.00333165
2,646.768,2.08003,1.99487,1.27622,0.5011,0.27199,0.31166,0.14438,2.13088,2.13634,1.21051,0.00664299,0.00664299,0.00664299
3,951.3,2.24658,2.22126,1.35542,0.37739,0.3376,0.30296,0.12867,2.18946,2.80326,1.2494,0.00993233,0.00993233,0.00993233
4,1262.54,2.29956,2.30458,1.43399,0.54529,0.27284,0.31192,0.13786,2.19016,2.04335,1.26231,0.009901,0.009901,0.009901
5,1576.05,2.15176,2.07736,1.37643,0.53958,0.41723,0.40347,0.186,2.01066,1.73802,1.19657,0.009868,0.009868,0.009868
6,1886.86,2.05823,1.90579,1.32377,0.48124,0.44456,0.41271,0.1897,1.91972,1.69029,1.16647,0.009835,0.009835,0.009835
7,2193.59,2.01745,1.86027,1.30072,0.52745,0.44483,0.44274,0.20411,1.94162,1.61643,1.17104,0.009802,0.009802,0.009802
8,2504.41,1.95297,1.76324,1.26009,0.56488,0.47359,0.49202,0.24108,1.84738,1.57009,1.15896,0.009769,0.009769,0.009769
9,2813.49,1.92298,1.72398,1.25741,0.55832,0.46523,0.47167,0.23555,1.84992,1.50765,1.11198,0.009736,0.009736,0.009736
10,3123.93,1.88768,1.66955,1.23608,0.58553,0.51211,0.5237,0.26405,1.77412,1.43854,1.09633,0.009703,0.009703,0.009703
11,3434.17,1.84407,1.61462,1.21499,0.60244,0.5117,0.51457,0.25716,1.80177,1.40669,1.10123,0.00967,0.00967,0.00967
12,3735.04,1.82536,1.56188,1.20664,0.64324,0.50579,0.54398,0.27509,1.74785,1.39521,1.07825,0.009637,0.009637,0.009637
13,4045.03,1.8199,1.56701,1.2125,0.66026,0.54401,0.57048,0.29177,1.85256,1.38329,1.11149,0.009604,0.009604,0.009604
14,4354.63,1.8084,1.53512,1.19509,0.66964,0.56457,0.61443,0.31723,1.70999,1.28791,1.07808,0.009571,0.009571,0.009571
15,4665.36,1.78023,1.4957,1.18391,0.70651,0.55756,0.61789,0.32551,1.68003,1.30704,1.05335,0.009538,0.009538,0.009538
16,4974.65,1.7645,1.47372,1.17785,0.68348,0.5831,0.62949,0.32701,1.65489,1.28485,1.03325,0.009505,0.009505,0.009505
17,5285.18,1.74075,1.45567,1.16524,0.66987,0.57544,0.62962,0.32864,1.66037,1.25349,1.04173,0.009472,0.009472,0.009472
18,5595.39,1.73279,1.44111,1.16223,0.72366,0.58689,0.64392,0.34669,1.63951,1.26998,1.03308,0.009439,0.009439,0.009439
19,5904.63,1.73661,1.43191,1.15889,0.74092,0.5822,0.65806,0.35845,1.58606,1.196,1.02215,0.009406,0.009406,0.009406
20,6214.25,1.71359,1.39705,1.14615,0.70351,0.60387,0.64783,0.35347,1.6091,1.18212,1.01906,0.009373,0.009373,0.009373
21,6513.43,1.70127,1.38561,1.15229,0.69996,0.609,0.6552,0.36331,1.60449,1.1784,1.02286,0.00934,0.00934,0.00934
22,6822.6,1.68127,1.34567,1.14247,0.73013,0.63503,0.68299,0.37603,1.62045,1.18005,1.02835,0.009307,0.009307,0.009307
23,7132.45,1.67472,1.35732,1.13703,0.74669,0.62231,0.69536,0.37843,1.57352,1.17934,1.01022,0.009274,0.009274,0.009274
24,7441.06,1.691,1.37356,1.13643,0.70447,0.64063,0.67883,0.37926,1.58179,1.18782,1.0058,0.009241,0.009241,0.009241
25,7751.35,1.66086,1.33682,1.12816,0.74507,0.64143,0.69376,0.38585,1.57488,1.15879,1.01031,0.009208,0.009208,0.009208
26,8055.34,1.67305,1.32173,1.13194,0.77943,0.64905,0.71251,0.39702,1.55835,1.12655,1.00462,0.009175,0.009175,0.009175
27,8363.99,1.65449,1.32237,1.12134,0.74313,0.64782,0.70049,0.39784,1.5596,1.11591,0.99827,0.009142,0.009142,0.009142
28,8677.52,1.64931,1.31342,1.12582,0.7805,0.6648,0.72165,0.40563,1.55525,1.11448,0.99792,0.009109,0.009109,0.009109
29,8988.78,1.64687,1.3029,1.11523,0.76022,0.66216,0.71403,0.40448,1.55614,1.09224,0.9955,0.009076,0.009076,0.009076
30,9293.86,1.63798,1.26641,1.11982,0.74686,0.66862,0.70676,0.39691,1.54771,1.12113,1.00247,0.009043,0.009043,0.009043
31,9602.7,1.6419,1.31122,1.11463,0.77027,0.66877,0.72876,0.41635,1.5349,1.10525,0.99734,0.00901,0.00901,0.00901
32,9913.35,1.62705,1.27874,1.1155,0.78682,0.67415,0.73912,0.4273,1.52866,1.09171,0.98579,0.008977,0.008977,0.008977
33,10222.5,1.6404,1.28136,1.12181,0.79091,0.6674,0.74554,0.42746,1.50553,1.0985,0.99014,0.008944,0.008944,0.008944
34,10533.8,1.60409,1.26236,1.10991,0.77401,0.67507,0.74534,0.42873,1.50685,1.07423,0.98603,0.008911,0.008911,0.008911
35,10836.9,1.6113,1.26109,1.10652,0.79755,0.67392,0.7492,0.43473,1.5051,1.06813,0.98387,0.008878,0.008878,0.008878
36,11144.1,1.60665,1.25297,1.09788,0.81503,0.69839,0.76411,0.44267,1.50411,1.06463,0.98322,0.008845,0.008845,0.008845
37,11454.8,1.60156,1.2396,1.09897,0.79038,0.68982,0.75715,0.43838,1.50528,1.05696,0.98809,0.008812,0.008812,0.008812
38,11766.4,1.60489,1.2452,1.09659,0.80583,0.67607,0.7605,0.44423,1.50518,1.03295,0.98231,0.008779,0.008779,0.008779
39,12071.1,1.60397,1.22425,1.10041,0.78683,0.70412,0.76134,0.44473,1.50065,1.01802,0.97794,0.008746,0.008746,0.008746
40,12383.5,1.59353,1.21093,1.09243,0.83902,0.68817,0.77097,0.446,1.49743,1.00794,0.97904,0.008713,0.008713,0.008713
41,12691.5,1.58477,1.21148,1.09679,0.81957,0.69357,0.76295,0.44599,1.49329,1.02099,0.97621,0.00868,0.00868,0.00868
42,13003.9,1.57863,1.19543,1.09697,0.7903,0.70506,0.76491,0.44784,1.47659,1.02435,0.97029,0.008647,0.008647,0.008647
43,13315.9,1.58231,1.20581,1.09236,0.80936,0.7103,0.76629,0.45249,1.47288,1.02961,0.97022,0.008614,0.008614,0.008614
44,13618.1,1.57869,1.19126,1.09053,0.82689,0.68386,0.76207,0.45394,1.4943,1.04498,0.97412,0.008581,0.008581,0.008581
45,13929.7,1.57644,1.20049,1.0942,0.80197,0.6993,0.7621,0.45589,1.50508,1.0457,0.97741,0.008548,0.008548,0.008548
46,14238.3,1.56908,1.18693,1.09058,0.82504,0.69601,0.76508,0.45703,1.48253,1.01068,0.97137,0.008515,0.008515,0.008515
47,14548.8,1.56783,1.18672,1.08959,0.81336,0.7066,0.77339,0.45996,1.47824,1.00515,0.97059,0.008482,0.008482,0.008482
48,14856.6,1.56584,1.17181,1.08457,0.80958,0.71277,0.77598,0.46277,1.47405,0.99434,0.96926,0.008449,0.008449,0.008449
49,15167.6,1.5636,1.19296,1.0873,0.80555,0.70699,0.7743,0.46349,1.47589,0.99584,0.96946,0.008416,0.008416,0.008416
50,15478.6,1.54977,1.16492,1.07983,0.81541,0.71829,0.77726,0.46657,1.47395,0.99182,0.96815,0.008383,0.008383,0.008383
51,15789.3,1.53644,1.15019,1.07389,0.81428,0.71859,0.77718,0.466,1.48659,0.99605,0.96947,0.00835,0.00835,0.00835
52,16100,1.54902,1.16989,1.07298,0.84028,0.71316,0.78116,0.47016,1.47926,0.99346,0.96775,0.008317,0.008317,0.008317
53,16399.9,1.55641,1.16824,1.07708,0.83491,0.71879,0.78248,0.46697,1.48296,0.99898,0.9674,0.008284,0.008284,0.008284
54,16709.6,1.55619,1.15356,1.07741,0.83516,0.71917,0.78408,0.4703,1.4901,0.99913,0.96869,0.008251,0.008251,0.008251
55,17020,1.55817,1.14213,1.07252,0.82989,0.71715,0.78176,0.47016,1.48668,0.99553,0.9665,0.008218,0.008218,0.008218
56,17331.8,1.54493,1.13953,1.07647,0.83466,0.71778,0.78199,0.47183,1.48444,0.99697,0.96555,0.008185,0.008185,0.008185
57,17638.8,1.52966,1.15088,1.06867,0.82688,0.71763,0.78168,0.4728,1.48285,0.99508,0.96538,0.008152,0.008152,0.008152
58,17951.8,1.53347,1.13605,1.06618,0.83394,0.72009,0.78568,0.47263,1.48335,0.99364,0.96522,0.008119,0.008119,0.008119
59,18261.4,1.5494,1.15885,1.07063,0.83992,0.71117,0.78402,0.47381,1.48362,0.99298,0.9661,0.008086,0.008086,0.008086
