epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,446.555,2.05656,3.63953,1.28292,0.46541,0.31638,0.32176,0.14446,2.14836,1.92772,1.23665,0.00333165,0.00333165,0.00333165
2,858.365,2.18453,2.13599,1.34438,0.42791,0.30272,0.28869,0.12741,2.21271,2.15976,1.29021,0.00664299,0.00664299,0.00664299
3,1265.98,2.3413,2.38687,1.44576,0.27908,0.3018,0.24915,0.10594,2.34521,2.73114,1.37003,0.00993233,0.00993233,0.00993233
4,1670.95,2.36189,2.40159,1.49703,0.45524,0.24257,0.25017,0.11351,2.37141,2.54109,1.3665,0.009901,0.009901,0.009901
5,2074.78,2.21498,2.15606,1.42368,0.47102,0.36832,0.36679,0.17538,2.11591,1.90471,1.24049,0.009868,0.009868,0.009868
6,2480.68,2.1113,1.98027,1.37042,0.55673,0.38412,0.42297,0.1958,2.04657,1.73897,1.20686,0.009835,0.009835,0.009835
7,2886.2,2.03542,1.89758,1.32559,0.50302,0.43533,0.43483,0.20117,2.00778,1.66112,1.19496,0.009802,0.009802,0.009802
8,3281.73,2.00175,1.81394,1.31657,0.58449,0.44986,0.48472,0.23736,1.93094,1.53805,1.18457,0.009769,0.009769,0.009769
9,3685.72,1.97813,1.80001,1.29942,0.59533,0.45656,0.48426,0.23625,1.89805,1.6269,1.15926,0.009736,0.009736,0.009736
10,4090.15,1.9241,1.71223,1.27119,0.57838,0.50968,0.51436,0.25106,1.8576,1.48472,1.14911,0.009703,0.009703,0.009703
11,4495.58,1.89188,1.66186,1.25499,0.60008,0.50988,0.52324,0.26084,1.88272,1.5758,1.13928,0.00967,0.00967,0.00967
12,4900.88,1.87286,1.62805,1.24687,0.60119,0.50514,0.52435,0.26455,1.87965,1.48614,1.13228,0.009637,0.009637,0.009637
13,5306.76,1.84556,1.59024,1.23555,0.6587,0.51273,0.56816,0.29211,1.80981,1.43969,1.11472,0.009604,0.009604,0.009604
