epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,265.349,2.21973,4.98228,0.00645,0.57859,0.47089,0.49645,0.24309,1.96215,1.70176,0.00637,0.0099798,0.0033266,0.0099798,0.0033266,0.0099798,0.0033266,0.0099798,0.0033266
2,499.931,2.08775,1.8774,0.0057,0.46306,0.41088,0.40131,0.18322,2.29558,1.88574,0.00766,0.0199139,0.00663795,0.0199139,0.00663795,0.0199139,0.00663795,0.0199139,0.00663795
3,704.634,2.18656,1.96555,0.00648,0.34919,0.29908,0.27923,0.12266,2.29807,2.41638,0.00837,0.0297819,0.00992731,0.0297819,0.00992731,0.0297819,0.00992731,0.0297819,0.00992731
4,908.731,2.30233,2.15285,0.00719,0.38473,0.3109,0.30588,0.13752,2.41907,2.64866,0.00911,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1113.04,2.22083,1.97968,0.00682,0.49581,0.40742,0.42097,0.20414,2.12864,2.00082,0.00728,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1316.85,2.17435,1.87181,0.00634,0.5729,0.43583,0.47711,0.22045,2.18024,1.69613,0.00774,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1520.4,2.12096,1.77699,0.00631,0.49345,0.48325,0.48807,0.22742,2.08412,1.65303,0.0075,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1724.26,2.07486,1.72207,0.00586,0.60411,0.49223,0.53297,0.25354,2.10193,1.5768,0.00722,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1928.13,2.04353,1.64843,0.00578,0.60312,0.53728,0.56955,0.28288,2.03674,1.5319,0.00671,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2131.77,2.01832,1.58462,0.00562,0.58231,0.56334,0.58857,0.2919,1.98135,1.42969,0.0065,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2335.95,2.02113,1.55085,0.00565,0.67659,0.54289,0.59691,0.29349,2.01944,1.47147,0.0065,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2539.52,1.98899,1.51147,0.0054,0.61272,0.60061,0.61129,0.30006,1.97859,1.36563,0.00663,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2743.71,1.97733,1.47629,0.00526,0.70936,0.58717,0.65569,0.3335,1.96267,1.29559,0.00601,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2947.21,1.96523,1.43614,0.00521,0.66784,0.61677,0.65977,0.346,1.93396,1.27318,0.00576,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3151.92,1.95167,1.41078,0.00508,0.69959,0.63191,0.67087,0.3418,1.93627,1.25166,0.00589,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3355.3,1.93646,1.38987,0.00497,0.7593,0.62765,0.71033,0.3751,1.89135,1.2004,0.0056,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3559.35,1.92561,1.36119,0.00489,0.6829,0.60743,0.65829,0.34986,1.88427,1.27617,0.00583,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3763.35,1.91133,1.36522,0.00487,0.74534,0.6157,0.70231,0.36812,1.87325,1.24626,0.00583,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,3967.48,1.90248,1.33784,0.00496,0.69742,0.64526,0.6991,0.3777,1.84724,1.15149,0.00541,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,4171.19,1.90734,1.32146,0.00487,0.77113,0.63636,0.70934,0.39338,1.81744,1.16147,0.00529,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,4375.22,1.88243,1.29173,0.0049,0.71444,0.66594,0.70997,0.38176,1.86236,1.15358,0.00584,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,4579.41,1.87849,1.28783,0.00479,0.72143,0.70507,0.73705,0.3923,1.8307,1.10915,0.00533,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4783.73,1.85471,1.23825,0.00464,0.77538,0.68349,0.75369,0.42136,1.83217,1.12217,0.00533,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,4987.62,1.86229,1.2482,0.00466,0.72735,0.68083,0.73834,0.3986,1.84327,1.14049,0.00547,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,5191.15,1.84545,1.24571,0.0046,0.73642,0.66985,0.74378,0.42171,1.80462,1.14559,0.00517,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
