               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097918,            0.011767,            0.016858,             0.58713,             0.21892,             0.19221,            0.065606,            0.070203,           0.0084797,           0.0066034,            0.070061,           0.0033266,           0.0033266
                   1,            0.070984,           0.0087659,           0.0061031,             0.48032,              0.3494,             0.35389,             0.14419,            0.059683,           0.0081877,           0.0082591,            0.040039,            0.006638,            0.006638
                   2,            0.069571,           0.0086108,           0.0057152,             0.75937,            0.052957,            0.037492,            0.016731,            0.088207,            0.010965,            0.046804,           0.0099947,           0.0099273,           0.0099273
                   3,            0.071093,           0.0090138,            0.006025,             0.37421,             0.26495,             0.30057,             0.12439,            0.062902,           0.0089142,            0.011998,            0.009901,            0.009901,            0.009901
                   4,             0.06612,           0.0087288,           0.0051366,             0.48929,             0.33994,              0.3542,             0.15861,            0.057549,           0.0084711,           0.0045209,            0.009901,            0.009901,            0.009901
                   5,            0.061852,           0.0086022,           0.0048212,             0.46954,             0.32439,             0.34499,             0.15164,            0.060723,           0.0087048,           0.0065602,            0.009868,            0.009868,            0.009868
                   6,            0.059726,           0.0083112,           0.0042608,             0.61511,             0.43476,             0.47287,             0.21433,            0.050442,           0.0077232,           0.0045403,            0.009835,            0.009835,            0.009835
                   7,            0.057217,           0.0080465,           0.0037001,             0.60885,             0.45179,             0.52074,             0.22374,            0.050261,           0.0076617,           0.0050632,            0.009802,            0.009802,            0.009802
                   8,            0.056085,           0.0079118,           0.0035756,             0.51658,              0.4817,             0.49685,             0.22923,            0.050323,           0.0072429,           0.0033974,            0.009769,            0.009769,            0.009769
                   9,            0.055663,           0.0078917,           0.0036544,             0.51423,             0.43878,             0.45839,             0.20166,            0.052058,           0.0082603,           0.0066911,            0.009736,            0.009736,            0.009736
                  10,            0.054757,           0.0078021,           0.0034645,             0.56642,             0.48755,              0.5278,             0.24604,            0.048182,           0.0075101,            0.007467,            0.009703,            0.009703,            0.009703
                  11,            0.053575,            0.007733,           0.0035542,             0.63465,             0.50958,             0.55596,             0.25841,            0.047155,           0.0069997,           0.0033594,             0.00967,             0.00967,             0.00967
                  12,            0.052131,           0.0076563,           0.0030943,             0.61898,             0.58318,             0.58848,             0.28093,             0.04996,           0.0068859,            0.003353,            0.009637,            0.009637,            0.009637
                  13,            0.052058,           0.0075573,           0.0029696,             0.66446,             0.54094,             0.59725,             0.27874,            0.047729,           0.0075694,           0.0054865,            0.009604,            0.009604,            0.009604
                  14,            0.052041,           0.0074837,            0.002963,             0.60087,             0.52928,             0.57812,             0.26673,            0.046349,           0.0071562,           0.0033161,            0.009571,            0.009571,            0.009571
                  15,            0.050944,           0.0074224,           0.0027686,             0.70576,             0.57289,             0.63207,             0.31294,            0.045342,           0.0067746,           0.0040288,            0.009538,            0.009538,            0.009538
                  16,            0.049771,           0.0073007,           0.0026855,             0.68785,             0.59122,             0.63448,             0.31458,            0.045823,           0.0070329,           0.0051345,            0.009505,            0.009505,            0.009505
                  17,            0.050617,           0.0072982,           0.0027923,             0.65264,             0.58538,             0.61337,             0.30261,            0.044348,           0.0068215,           0.0041786,            0.009472,            0.009472,            0.009472
                  18,            0.049902,           0.0072769,           0.0026807,             0.68266,             0.62595,             0.65552,             0.32587,            0.044445,           0.0065637,           0.0022058,            0.009439,            0.009439,            0.009439
                  19,            0.049278,           0.0072454,           0.0025017,             0.69021,             0.61006,             0.66795,             0.34394,            0.042782,            0.006517,           0.0030116,            0.009406,            0.009406,            0.009406
                  20,             0.04918,           0.0072983,           0.0027074,             0.69486,             0.59966,             0.63815,             0.31267,            0.044171,           0.0069646,            0.002931,            0.009373,            0.009373,            0.009373
                  21,            0.048363,           0.0070938,           0.0022858,             0.73606,              0.6209,             0.69283,             0.35776,            0.042722,           0.0066522,           0.0029471,             0.00934,             0.00934,             0.00934
                  22,            0.047836,           0.0070968,           0.0024001,             0.67122,             0.64036,             0.66386,              0.3402,            0.042633,           0.0064727,           0.0027451,            0.009307,            0.009307,            0.009307
                  23,            0.048037,           0.0071569,           0.0024966,             0.71395,             0.65984,             0.71003,             0.36675,            0.041718,           0.0064947,           0.0031874,            0.009274,            0.009274,            0.009274
                  24,            0.047606,           0.0069938,           0.0026133,             0.69943,             0.63895,             0.69811,              0.3668,            0.041244,           0.0064988,           0.0027372,            0.009241,            0.009241,            0.009241
                  25,            0.047096,            0.007118,           0.0024334,             0.76728,             0.64509,               0.724,             0.36871,            0.040527,           0.0063487,           0.0026151,            0.009208,            0.009208,            0.009208
                  26,            0.047373,           0.0070295,            0.002451,             0.75779,             0.64123,             0.72481,             0.37581,            0.040594,           0.0063431,           0.0023668,            0.009175,            0.009175,            0.009175
                  27,            0.046393,           0.0070199,           0.0021591,             0.75998,             0.67913,              0.7387,             0.38088,            0.039584,           0.0061913,           0.0025813,            0.009142,            0.009142,            0.009142
                  28,            0.046865,           0.0070039,            0.002075,             0.69836,             0.66745,             0.72461,             0.38011,            0.039823,           0.0062053,           0.0028645,            0.009109,            0.009109,            0.009109
                  29,            0.046396,           0.0069337,           0.0020548,             0.76287,             0.64204,             0.74234,             0.39044,             0.03898,           0.0061841,           0.0024226,            0.009076,            0.009076,            0.009076
                  30,            0.045913,           0.0070136,           0.0021615,             0.75345,             0.67214,             0.74703,             0.39702,            0.039045,           0.0061559,           0.0019931,            0.009043,            0.009043,            0.009043
                  31,            0.045915,           0.0068262,           0.0021516,             0.72478,             0.69359,             0.74556,             0.38668,            0.038971,           0.0060761,           0.0017616,             0.00901,             0.00901,             0.00901
                  32,            0.045203,           0.0068288,           0.0021697,             0.73841,             0.66957,               0.744,             0.40639,            0.039328,           0.0060566,           0.0018503,            0.008977,            0.008977,            0.008977
                  33,            0.044842,           0.0067269,           0.0019196,             0.74997,             0.69732,             0.75301,               0.399,             0.03973,           0.0060667,           0.0020291,            0.008944,            0.008944,            0.008944
                  34,            0.045352,           0.0067214,           0.0022128,             0.76407,             0.70779,             0.76537,             0.41124,             0.03814,           0.0059955,           0.0017012,            0.008911,            0.008911,            0.008911
                  35,            0.045408,           0.0068556,           0.0019688,             0.75955,             0.70034,             0.76054,             0.40525,            0.038867,           0.0060063,           0.0020154,            0.008878,            0.008878,            0.008878
                  36,            0.044993,           0.0068425,           0.0019545,             0.73996,             0.69337,              0.7585,             0.40763,            0.038077,           0.0059946,           0.0017157,            0.008845,            0.008845,            0.008845
                  37,            0.045353,           0.0068686,           0.0022094,             0.76946,             0.70183,              0.7677,             0.41494,            0.037252,           0.0059888,           0.0017324,            0.008812,            0.008812,            0.008812
                  38,            0.044768,           0.0069303,           0.0019984,             0.76659,             0.68935,             0.77077,             0.41593,            0.037532,           0.0060279,           0.0016179,            0.008779,            0.008779,            0.008779
                  39,            0.044717,           0.0067675,           0.0021096,             0.75905,              0.7016,             0.77621,              0.4176,            0.037389,            0.006015,           0.0016061,            0.008746,            0.008746,            0.008746
                  40,            0.044518,           0.0068386,           0.0020845,             0.78928,             0.70076,             0.78006,             0.42116,            0.037343,           0.0059759,           0.0015642,            0.008713,            0.008713,            0.008713
                  41,            0.045025,           0.0067443,           0.0019074,             0.78699,               0.718,              0.7818,             0.43392,            0.037046,           0.0059473,           0.0016348,             0.00868,             0.00868,             0.00868
                  42,            0.044607,           0.0067702,           0.0019431,             0.78477,             0.72055,             0.78589,             0.43353,            0.036775,           0.0058885,            0.001478,            0.008647,            0.008647,            0.008647
                  43,            0.043576,           0.0066618,           0.0019069,              0.8071,             0.71767,             0.79572,             0.43345,            0.037139,             0.00585,           0.0014278,            0.008614,            0.008614,            0.008614
                  44,            0.044227,           0.0066645,           0.0019769,             0.80293,             0.72173,              0.7924,             0.43368,            0.037181,           0.0058218,           0.0019413,            0.008581,            0.008581,            0.008581
                  45,             0.04376,           0.0066394,           0.0018518,             0.80197,             0.71583,             0.79096,             0.43813,            0.036998,           0.0058074,           0.0019115,            0.008548,            0.008548,            0.008548
                  46,            0.044096,           0.0066728,           0.0019622,              0.7623,             0.74026,             0.79115,             0.43878,            0.037765,           0.0057725,           0.0018722,            0.008515,            0.008515,            0.008515
                  47,            0.043972,           0.0066173,           0.0019418,             0.77638,              0.7243,             0.78712,             0.43555,            0.036985,             0.00582,            0.001709,            0.008482,            0.008482,            0.008482
                  48,            0.043626,           0.0065939,           0.0019656,             0.76763,             0.74333,             0.78924,             0.43746,            0.036619,           0.0057952,           0.0016165,            0.008449,            0.008449,            0.008449
                  49,            0.043308,           0.0066643,           0.0019045,             0.76496,             0.72987,             0.78988,             0.43541,            0.036496,           0.0057651,           0.0016689,            0.008416,            0.008416,            0.008416
                  50,            0.043063,           0.0066143,           0.0018669,             0.77159,             0.73684,              0.7938,             0.43782,            0.036569,            0.005751,           0.0016566,            0.008383,            0.008383,            0.008383
                  51,            0.043158,           0.0065076,           0.0019284,             0.80099,             0.70812,             0.79231,             0.44315,            0.036409,           0.0057181,           0.0015326,             0.00835,             0.00835,             0.00835
                  52,            0.042637,            0.006617,            0.001748,             0.80195,             0.71087,             0.79249,             0.44686,            0.036098,            0.005717,           0.0015089,            0.008317,            0.008317,            0.008317
                  53,            0.042916,           0.0065005,           0.0017581,             0.80705,             0.69802,             0.79302,             0.44381,            0.036091,           0.0057017,           0.0016294,            0.008284,            0.008284,            0.008284
                  54,            0.043122,           0.0064968,           0.0017739,             0.79589,             0.71659,             0.79773,             0.44581,            0.035919,           0.0057083,           0.0016419,            0.008251,            0.008251,            0.008251
                  55,            0.042463,           0.0064019,           0.0018198,             0.80109,             0.72234,               0.802,              0.4446,             0.03584,           0.0057036,           0.0016003,            0.008218,            0.008218,            0.008218
                  56,            0.042289,           0.0065308,            0.001622,             0.78185,             0.72098,             0.79573,             0.44321,            0.035732,           0.0056988,           0.0015579,            0.008185,            0.008185,            0.008185
                  57,            0.042361,           0.0064418,           0.0016206,             0.77026,             0.73553,             0.79345,             0.44599,            0.035698,           0.0056925,           0.0015705,            0.008152,            0.008152,            0.008152
                  58,            0.043069,            0.006528,           0.0017417,             0.79889,             0.72058,             0.79677,             0.44689,             0.03577,           0.0056852,           0.0015811,            0.008119,            0.008119,            0.008119
                  59,             0.04294,           0.0065654,            0.001676,             0.79906,             0.72247,              0.7981,             0.44955,            0.035775,            0.005674,            0.001581,            0.008086,            0.008086,            0.008086
                  60,            0.042866,           0.0065047,           0.0017846,             0.79786,             0.71719,             0.79686,             0.44841,            0.035911,            0.005669,           0.0015532,            0.008053,            0.008053,            0.008053
                  61,            0.042513,           0.0063864,           0.0016708,             0.80872,             0.71366,             0.80228,             0.44967,            0.035945,           0.0056644,           0.0015038,             0.00802,             0.00802,             0.00802
                  62,            0.042267,           0.0063749,           0.0018212,             0.80757,             0.71878,             0.80367,             0.45132,            0.035861,           0.0056578,           0.0014924,            0.007987,            0.007987,            0.007987
                  63,            0.042497,           0.0064885,           0.0014807,             0.81135,             0.72415,              0.8048,             0.45149,            0.035874,           0.0056573,           0.0014753,            0.007954,            0.007954,            0.007954
                  64,            0.041981,           0.0064183,           0.0015438,             0.81131,             0.72387,             0.80638,             0.45243,            0.035833,           0.0056577,            0.001444,            0.007921,            0.007921,            0.007921
                  65,            0.042529,           0.0064251,           0.0016991,             0.81582,             0.71947,             0.80656,             0.45217,            0.035797,           0.0056566,           0.0014181,            0.007888,            0.007888,            0.007888
                  66,            0.042739,           0.0064905,           0.0017509,             0.81126,             0.71913,             0.80425,             0.45245,            0.035831,           0.0056545,           0.0013958,            0.007855,            0.007855,            0.007855
                  67,            0.042126,           0.0065206,           0.0017412,             0.81031,             0.72462,              0.8048,             0.45032,             0.03586,           0.0056527,           0.0013969,            0.007822,            0.007822,            0.007822
                  68,            0.041845,           0.0064361,            0.001717,             0.80733,             0.72443,             0.80657,             0.44924,            0.035812,           0.0056508,           0.0013909,            0.007789,            0.007789,            0.007789
                  69,             0.04176,           0.0063904,           0.0016363,              0.8133,             0.72281,             0.80699,             0.45178,            0.035777,           0.0056438,           0.0013917,            0.007756,            0.007756,            0.007756
                  70,            0.041683,           0.0063945,           0.0017755,             0.81984,             0.71677,             0.80753,             0.45197,            0.035766,           0.0056457,           0.0014008,            0.007723,            0.007723,            0.007723
                  71,             0.04132,           0.0062951,           0.0015744,             0.82794,             0.71095,             0.80786,             0.45349,            0.035747,           0.0056453,            0.001405,             0.00769,             0.00769,             0.00769
                  72,            0.040943,           0.0062987,           0.0015284,             0.82392,             0.71705,             0.80958,             0.45517,             0.03573,           0.0056414,           0.0014117,            0.007657,            0.007657,            0.007657
                  73,            0.041018,           0.0062314,           0.0015445,              0.8135,             0.72455,             0.81027,             0.45599,            0.035716,           0.0056338,           0.0014074,            0.007624,            0.007624,            0.007624
                  74,             0.04108,           0.0063483,           0.0016669,             0.81217,             0.72756,             0.81011,             0.45631,            0.035685,           0.0056271,           0.0014082,            0.007591,            0.007591,            0.007591
                  75,            0.040718,           0.0062177,            0.001383,             0.79624,             0.73034,             0.80614,             0.45581,            0.035666,           0.0056242,           0.0014024,            0.007558,            0.007558,            0.007558
                  76,             0.04066,           0.0062447,           0.0014811,             0.79547,             0.73312,             0.80631,             0.45669,            0.035624,           0.0056191,            0.001391,            0.007525,            0.007525,            0.007525
                  77,            0.041002,           0.0063381,           0.0014165,             0.81835,             0.71131,             0.80592,             0.45715,            0.035611,           0.0056127,            0.001392,            0.007492,            0.007492,            0.007492
                  78,            0.040991,           0.0062259,           0.0014521,             0.81872,             0.71302,             0.80584,             0.45894,            0.035608,           0.0056064,           0.0013955,            0.007459,            0.007459,            0.007459
                  79,            0.040638,           0.0061994,           0.0014418,             0.82588,             0.71011,             0.80707,             0.45954,            0.035569,              0.0056,           0.0013939,            0.007426,            0.007426,            0.007426
                  80,            0.040816,           0.0062929,           0.0016085,             0.82093,             0.71293,             0.80726,             0.45986,            0.035524,           0.0055958,           0.0013968,            0.007393,            0.007393,            0.007393
                  81,            0.040631,           0.0061873,           0.0015183,              0.7998,             0.73175,             0.80777,             0.45965,             0.03547,            0.005591,           0.0014002,             0.00736,             0.00736,             0.00736
